,Max_peak_time,Time_array,Signal_array,Duration,Index_start,Index_end,Oscillation_events,Num_peaks,Peaks_indexes,Peaks_heights,Instant_frequency,Indices_frequency,Mean_frequency,Spikes_per_cycle,Short_freq_time_slope,Long_freq_time_slope
1,971.603,[-27.819 -27.818 -27.817 ...  62.483  62.484  62.485],[2.82840501 2.82985805 2.83131308 ... 0.11402421 0.11356971 0.11311656],90.305,943784,1034089,"{'Start_end': array([[ 2344,  4852, 11723, 15346, 21418, 26086, 30974, 36174, 41459,
        46723, 51843, 56993, 62229, 67387, 72483, 77461, 82654, 87667],
       [ 4852,  9104, 14499, 20510, 24384, 29552, 34584, 39496, 45009,
        49933, 55331, 60327, 65141, 70511, 75639, 80391, 85252, 90133]])}",18,"[ 3598  6978 13111 17928 22901 27819 32779 37835 43234 48328 53587 58660
 63685 68949 74061 78926 83953 88900]","[ 8.66479649 10.73295633 15.12492673 24.35890963 30.34563884 46.08962584
 42.43185567 34.08442196 27.55288805 24.51123737 26.91456904 26.19502579
 21.16821368 18.70020688 19.45994717 18.85515039 15.27285023  7.72126806]","[295.85798817 163.0523398  207.5980901  201.08586366 203.3346889
 201.61290323 197.78481013 185.21948509 196.30938359 190.15021867
 197.12201853 199.00497512 189.96960486 195.61815336 205.54984584
 198.92580068 202.14271276]","[ 5288 10044 15519 20414 25360 30299 35307 40534 45781 50957 56123 61172
 66317 71505 76493 81439 86426]",201.78464014590682,"[16.63872988 31.53419383 26.2342472  39.905256   41.90622041 63.14904362
 62.53000714 50.85348428 42.99931562 34.9157404  39.98157371 36.82978947
 28.79737243 27.9943176  25.99404681 24.98287796 19.96190831  9.96802787]",0.26439816913154457,-0.28399603731636386
2,1490.917,[-32.275 -32.274 -32.273 ...  26.715  26.716  26.717],[0.82239334 0.82268781 0.82297909 ... 0.11402421 0.11356971 0.11311656],58.993,1458642,1517635,"{'Start_end': array([[ 5236,  9554, 15091, 20251, 25046, 30495, 35509, 41124, 46214,
        51555, 56656],
       [ 7876, 13762, 19093, 24405, 29260, 34055, 39195, 44228, 49278,
        54189, 58982]])}",11,[ 6556 11658 17092 22328 27153 32275 37352 42676 47746 52872 57819],"[ 7.00732607 12.62349297 14.22230684 20.68149005 25.29293311 36.32485996
 25.8739461  22.4810529  20.13703794 14.22929079  8.16684358]","[196.00156801 184.02649982 190.9854851  207.25388601 195.23623585
 196.96671263 187.82870023 197.23865878 195.08388607 202.14271276]",[ 9107 14375 19710 24740 29714 34813 40014 45211 50309 55345],195.2764345241682,"[13.74661279 28.73447658 32.96740901 42.91602962 45.20304044 59.50947298
 42.61156505 32.92670321 28.97419461 18.94478438  9.99867148]",0.12209052765755303,0.1269021888506896
3,1908.314,[-22.821 -22.82  -22.819 ...  18.354  18.355  18.356],[1.17933924 1.29203466 1.29206713 ... 0.11402421 0.11356971 0.11311656],41.178000000000004,1885493,1926671,"{'Start_end': array([[  325,  6107, 10151, 15955, 20365, 25797, 30981, 36387],
       [ 6107,  9203, 14829, 19825, 25277, 29409, 34983, 40165]])}",8,[ 3216  7655 12490 17890 22821 27603 32982 38276],"[ 7.62986718 10.27056013 12.93960834 20.10497977 36.55301433 30.49838897
 14.51159775  9.51641818]","[225.27596305 206.82523268 185.18518519 202.79862097 209.11752405
 185.90816137 188.89308651]",[ 5435 10072 15190 20355 25212 30292 35629],200.57196768821774,"[23.89966314 20.51291693 34.35643602 50.42964978 71.98670014 52.69061891
 25.97609714 15.48913551]",-0.8949743841538761,-0.8949743841538761
4,2374.245,[-9.449 -9.448 -9.447 ...  3.436  3.437  3.438],[0.75035769 0.86311908 0.86321806 ... 0.46596715 0.46448447 0.46300467],12.888,2364796,2377684,"{'Start_end': array([[ 3458,  6011],
       [ 5972, 12887]])}",2,[4715 9449],[6.92002089 9.66687129],[211.23785382],[7082],211.23785382340515,[11.18497711 24.52542756],,
5,3820.1,[-18.218 -18.217 -18.216 ...  17.683  17.684  17.685],[0.52013105 0.63223434 0.63167412 ... 0.11402421 0.11356971 0.11311656],35.904,3801882,3837786,"{'Start_end': array([[  514,  6992, 11725, 16380, 21589, 26640, 32703],
       [ 6374,  9594, 14651, 20056, 24893, 30510, 35903]])}",7,[ 3444  8293 13188 18218 23241 28575 34303],"[ 7.38218518 12.98904252 21.20893925 29.49047318 22.99991121 15.81582985
  9.82351367]","[206.22808827 204.29009193 198.80715706 199.08421262 187.47656543
 174.58100559]",[ 5868 10740 15703 20729 25908 31439],195.07785348194497,"[24.13623233 23.4466662  42.61164255 62.97531436 48.16184498 33.7299486
 14.90886073]",-1.1770985880366298,-1.1770985880366298
6,4938.957,[-28.047 -28.046 -28.045 ...  42.276  42.277  42.278],[2.87175222 2.87206661 2.8723826  ... 0.11402421 0.11356971 0.11311656],70.32600000000001,4910910,4981236,"{'Start_end': array([[    0,  6074, 10584, 16533, 21518, 26423, 31473, 36241, 41634,
        46832, 52406, 57776, 62467, 67766],
       [ 4634, 10584, 15582, 19595, 24592, 29671, 34655, 40497, 45550,
        50818, 55714, 60636, 65677, 70194]])}",14,"[ 2317  8329 13083 18064 23055 28047 33064 38369 43592 48825 54060 59206
 64072 68980]","[ 8.40152597 11.87100226 21.63620879 27.91445219 37.26261649 38.43979613
 28.25653806 25.77183376 21.57845622 22.45959913 17.05461986 16.04462897
 14.54876135  9.4723835 ]","[166.33399867 210.34917964 200.76289902 200.36064917 200.32051282
 199.32230417 188.50141376 191.46084626 191.0949742  191.02196753
 194.32568986 205.50760378 203.74898126]","[ 5323 10706 15573 20559 25551 30555 35716 40980 46208 51442 56633 61639
 66526]",195.62392462440476,"[24.11496674 28.6245213  37.08629467 40.69181109 55.24630037 59.83401932
 48.66513819 46.8424721  37.98157371 34.9900895  25.97237856 22.72748097
 19.85548339 11.97476946]",-0.5101626904214841,0.12976199531757363
7,6388.058,[-20.337 -20.336 -20.335 ...   1.805   1.806   1.807],[0.6650956  0.66599409 0.66689112 ... 0.11402421 0.11356971 0.11311656],22.145,6367721,6389866,"{'Start_end': array([[ 3812,  8919, 12227, 18530],
       [ 6344, 11751, 18315, 22144]])}",4,[ 5078 10335 15271 20337],[6.81959153 7.18329127 9.89885784 9.99220246],[190.2225604  202.59319287 197.394394  ],[ 7706 12803 17804],196.736715754531,[11.14352384 14.08842663 23.06551287 16.69372858],0.7157152326921818,0.7157152326921818
8,8247.214,[-17.628 -17.627 -17.626 ...   7.302   7.303   7.304],[0.         0.         0.         ... 0.11402421 0.11356971 0.11311656],24.933,8229586,8254519,"{'Start_end': array([[ 2847, 10273, 15433, 20972],
       [ 9719, 15433, 19823, 23944]])}",4,[ 6283 12853 17628 22458],[ 6.97560981  8.0955808  14.00126368 11.5771387 ],[152.20700152 209.42408377 207.03933747],[ 9568 15240 20043],189.55680758860785,[28.02240258 24.93857502 24.57006837 16.50919333],5.3795932271854525,5.3795932271854525
9,8872.776,[-12.876 -12.875 -12.874 ...   8.698   8.699   8.7  ],[2.98946711 3.10178418 3.10143179 ... 0.11402421 0.11356971 0.11311656],21.577,8859900,8881477,"{'Start_end': array([[ 1483,  5003, 11319, 16552],
       [ 4847, 11213, 14433, 19850]])}",4,[ 3165  8108 12876 18201],[ 7.32377198  9.69159826 10.30114841  7.52444155],[202.30629173 209.73154362 187.79342723],[ 5636 10492 15538],199.94375419329356,[15.7539763  23.95403066 17.60685967 12.98758998],-1.4844343637944684,-1.4844343637944684
10,9894.907,[-11.616 -11.615 -11.614 ...   1.196   1.197   1.198],[0.66696127 0.77933493 0.7790495  ... 0.11402421 0.11356971 0.11311656],12.815,9883291,9896106,"{'Start_end': array([[  195,  4052, 10418],
       [ 3247,  9406, 12814]])}",3,[ 1721  6729 11616],[ 6.7931262   8.6030762  10.59444735],[199.68051118 204.62451402],[4225 9172],202.1525125994439,[13.1096692  17.05745145 13.49063677],0.999394144869736,0.999394144869736
