,Max_peak_time,Time_array,Signal_array,Duration,Index_start,Index_end,Oscillation_events,Num_peaks,Peaks_indexes,Peaks_heights,Instant_frequency,Indices_frequency,Mean_frequency,Spikes_per_cycle,Short_freq_time_slope,Long_freq_time_slope
1,973.665,[-33.134 -33.133 -33.132 ...  59.681  59.682  59.683],[0.7491257  0.74982571 0.75052337 ... 0.11402421 0.11356971 0.11311656],92.818,940531,1033349,"{'Start_end': array([[ 3250,  6391, 10704, 16073, 20673, 26351, 31211, 35539, 41019,
        46038, 51485, 56426, 62024, 67370, 72497, 77525, 82641, 87057],
       [ 5362, 10489, 15218, 20673, 26195, 29729, 35057, 41019, 45201,
        51106, 55719, 62024, 66932, 71274, 76499, 81897, 87057, 92769]])}",18,"[ 4306  8440 12961 18373 23434 28040 33134 38279 43110 48572 53602 59225
 64478 69322 74498 79711 84849 89913]","[10.54760697 17.41767828 15.41982256 24.94848323 27.33264786 29.41815824
 46.3149039  45.9826422  37.04118597 31.68159411 24.35942644 32.90061581
 26.8474958  15.69645299 21.25307029 23.69007184 17.75285694 12.72901315]","[241.89646831 221.19000221 184.77457502 197.58940921 217.10811984
 196.30938359 194.36345967 206.99648106 183.08311974 198.80715706
 177.84101014 190.3674091  206.44095789 193.19938176 191.828122
 194.62826002 197.47235387]","[ 6373 10700 15667 20903 25737 30587 35706 40694 45841 51087 56413 61851
 66900 71910 77104 82280 87381]",199.64092179330967,"[19.72805904 53.80822698 49.47628094 66.12179128 64.4256563  57.28155563
 90.29010865 90.69207442 76.68427247 71.76760212 56.50863558 75.87670535
 60.77549065 36.63732133 49.41663183 51.50262201 42.47802227 35.80338094]",-0.015696582568676478,-0.2947293984195141
2,1492.911,[-30.985 -30.984 -30.983 ...  23.97   23.971  23.972],[3.05405592 3.05406787 3.05408197 ... 0.84353287 0.84201731 0.84050177],54.958,1461926,1516884,"{'Start_end': array([[    0,  8465, 13973, 18683, 24066, 28984, 34195, 39507, 44484,
        50031],
       [ 5486, 12535, 18683, 23529, 28348, 32986, 38397, 44265, 49090,
        54763]])}",10,[ 2743 10500 16328 21106 26207 30985 36296 41886 46787 52397],"[13.50632503 19.05091066 24.43603462 27.31651567 32.16959562 42.65105995
 34.37028844 29.52453573 23.15780623 13.12126274]","[128.91581797 171.58544955 209.29259104 196.03999216 209.29259104
 188.28845792 178.89087657 204.03999184 178.25311943]",[ 6621 13414 18717 23656 28596 33640 39091 44336 49592],184.9554319465014,"[47.76717479 51.82580093 59.64489272 71.3066259  67.00875678 85.87511109
 71.26964526 63.24685595 51.67866375 34.07729111]",-0.12147066507995173,0.7544838010130427
3,1910.3410000000001,[-24.696 -24.695 -24.694 ...  19.26   19.261  19.262],[2.79606198 2.90874298 2.90875688 ... 2.32017823 2.3194216  2.31866469],43.959,1885645,1929604,"{'Start_end': array([[ 2839,  9470, 11970, 17976, 22430, 27428, 33340, 37071],
       [ 8189, 11818, 17778, 22430, 26962, 31906, 36430, 43627]])}",8,[ 5514 10644 14874 20203 24696 29667 34885 40349],"[10.96848242 13.23706646 22.27943445 34.1154366  46.52016867 39.88014641
 16.75514542 16.55583603]","[194.93177388 236.40661939 187.65246763 222.5684398  201.16676725
 191.64430816 183.01610542]",[ 8079 12759 17538 22449 27181 32276 37617],202.48378307443517,"[40.3325144  23.92594083 71.21586392 73.34894921 96.53290496 87.91980889
 33.05437991 48.8444904 ]",-0.8246834460995432,-0.8246834460995432
5,3822.716,[-16.578 -16.577 -16.576 ...  17.366  17.367  17.368],[3.75608783 3.8687659  3.8687827  ... 2.60652681 2.49604167 2.49867622],33.947,3806138,3840085,"{'Start_end': array([[ 1218,  4726,  9649, 14797, 18579, 24095, 30010],
       [ 4726,  9114, 13829, 18359, 24095, 29423, 33882]])}",7,[ 2972  6920 11739 16578 21337 26759 31946],"[14.52140601 20.14934981 35.40309493 43.72631157 34.62354543 22.26864475
 12.02194454]","[253.29280648 207.51193194 206.65426741 210.12817819 184.43378827
 192.78966647]",[ 4946  9329 14158 18957 24048 29352],209.13510646059785,"[39.72096092 60.6204427  82.41940445 83.26896752 94.24608181 59.52818878
 25.34850359]",-2.121326967551145,-2.121326967551145
6,4941.042,[-36.382 -36.381 -36.38  ...  38.635  38.636  38.637],[0.63943453 0.75105257 0.75000853 ... 1.07760188 1.07845478 1.07931208],75.02,4904660,4979680,"{'Start_end': array([[ 3478, 11078, 14106, 20022, 24282, 29102, 34600, 39246, 44821,
        50126, 54750, 60843, 65637, 71290],
       [ 6062, 14106, 19814, 23330, 28536, 34092, 38164, 43816, 48595,
        53858, 60216, 65637, 70499, 74242]])}",14,"[ 4770 12592 16960 21676 26409 31597 36382 41531 46708 51992 57483 63240
 68068 72766]","[10.69859972 11.50768461 15.9983552  19.42767107 33.19185107 40.98773335
 45.94854181 34.81937986 35.83516199 25.02612891 20.84626703 16.87429701
 17.76689995 20.20581215]","[127.84454104 228.93772894 212.04410517 211.28248468 192.75250578
 208.98641588 194.21246844 193.16206297 189.25056775 182.11619013
 173.70158068 207.12510356 212.8565347 ]","[ 8681 14776 19318 24042 29003 33989 38956 44119 49350 54737 60361 65654
 70417]",194.94402228708685,"[20.69661766 30.43978776 60.20416942 46.2944429  73.96759527 80.4130735
 81.43258423 77.82986832 69.92695633 55.22853389 63.69359765 44.77442633
 43.57025204 36.57077238]",-0.7848329391998816,0.15612231751480748
7,6384.733,[-1.41  -1.409 -1.408 ...  9.353  9.354  9.355],[3.81116697 3.92397298 3.92411446 ... 2.15168573 2.15329443 2.15490343],10.766,6383323,6394089,"{'Start_end': array([[   0, 5301],
       [2820, 9637]])}",2,[1410 7469],[15.8259753  12.47846952],[165.04373659],[4439],165.0437365901964,[28.30863224 34.81801112],,
8,8249.511,[-13.336 -13.335 -13.334 ...   2.949   2.95    2.951],[5.24714087 5.24723974 5.24733591 ... 2.57656964 2.57550716 2.57444564],16.288,8236175,8252463,"{'Start_end': array([[  837,  5653, 11397],
       [ 5653,  9415, 15275]])}",3,[ 3245  7534 13336],[12.30868091 13.33185892 20.40171558],[233.15458149 172.35436057],[ 5389 10435],202.75447102642426,[40.84599547 38.76212161 46.56465735],-12.049191621522787,-12.049191621522787
9,9550.54,[-3.767 -3.766 -3.765 ...  8.434  8.435  8.436],[5.18731907 5.29855066 5.29712172 ... 3.55199758 3.55167785 3.55136381],12.204,9546773,9558977,"{'Start_end': array([[ 2285,  5387],
       [ 5249, 12147]])}",2,[3767 8767],[14.29746646 11.13670921],[200.],[6267],200.0,[35.29805556 51.28808485],,
11,9982.31,[-9.488 -9.487 -9.486 ...  7.111  7.112  7.113],[1.37855494 1.37972742 1.3809013  ... 2.6689132  2.6719232  2.67493532],16.602,9972822,9989424,"{'Start_end': array([[ 1222,  7816, 13145],
       [ 7816, 11160, 16511]])}",3,[ 4519  9488 14828],[10.38351534 18.08332577 16.19671775],[201.24773596 187.2659176 ],[ 7003 12158],194.25682678298332,[47.59932135 37.47607747 34.65832661],-2.7122829020318475,-2.7122829020318475
13,10328.744,[-1.905 -1.904 -1.903 ...  7.587  7.588  7.589],[3.74649511 3.74743953 3.7483827  ... 1.6769633  1.67686314 1.67676912],9.495000000000001,10326839,10336334,"{'Start_end': array([[   0, 5543],
       [3810, 8641]])}",2,[1905 7092],[13.6500005  12.67519323],[192.78966647],[4498],192.78966647387696,[32.45089381 23.4854699 ],,
